Added  | (tetr_def.tetr = 40 & laci_def.laci = 1)
Added  | (tetr_def.tetr = 47 & laci_def.laci = 1)
Added  | (tetr_def.tetr = 67 & laci_def.laci = 1)
Added  | (tetr_def.tetr = 65 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 67 & laci_def.laci = 0)
Added  | (tetr_def.tetr = 67 & laci_def.laci = 4)
Added  | (tetr_def.tetr = 67 & laci_def.laci = 2)
Added  | (tetr_def.tetr = 67 & laci_def.laci = 9)
Added  | (tetr_def.tetr = 65 & laci_def.laci = 6)
Added  | (tetr_def.tetr = 67 & laci_def.laci = 5)
Added  | (tetr_def.tetr = 73 & laci_def.laci = 1)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 19)
Added  | (tetr_def.tetr = 51 & laci_def.laci = 1)
Added  | (tetr_def.tetr = 83 & laci_def.laci = 1)
Added  | (tetr_def.tetr = 57 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 49 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 45 & laci_def.laci = 4)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 5)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 0)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 2)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 9)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 4)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 6)
Added  | (tetr_def.tetr = 49 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 43 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 20)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 15)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 11)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 13)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 8)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 14)
Added  | (tetr_def.tetr = 41 & laci_def.laci = 20)
Added  | (tetr_def.tetr = 41 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 45 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 89 & laci_def.laci = 0)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 17)
Added  | (tetr_def.tetr = 46 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 12)
Added  | (tetr_def.tetr = 49 & laci_def.laci = 20)
Added  | (tetr_def.tetr = 46 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 47 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 42 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 10)
Added  | (tetr_def.tetr = 41 & laci_def.laci = 0)
Added  | (tetr_def.tetr = 50 & laci_def.laci = 0)
Added  | (tetr_def.tetr = 65 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 18)
Added  | (tetr_def.tetr = 40 & laci_def.laci = 16)
Added  | (tetr_def.tetr = 47 & laci_def.laci = 0)
Added  | (tetr_def.tetr = 48 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 44 & laci_def.laci = 1)
Added  | (tetr_def.tetr = 49 & laci_def.laci = 2)
Added  | (tetr_def.tetr = 129 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 48 & laci_def.laci = 2)
Added  | (tetr_def.tetr = 55 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 47 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 44 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 56 & laci_def.laci = 3)
Added  | (tetr_def.tetr = 47 & laci_def.laci = 6)
Added  | (tetr_def.tetr = 43 & laci_def.laci = 2)
Added  | (tetr_def.tetr = 42 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 50 & laci_def.laci = 9)
Added  | (tetr_def.tetr = 45 & laci_def.laci = 9)
Added  | (tetr_def.tetr = 47 & laci_def.laci = 17)
Added  | (tetr_def.tetr = 47 & laci_def.laci = 12)
Added  | (tetr_def.tetr = 60 & laci_def.laci = 0)
Added  | (tetr_def.tetr = 41 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 60 & laci_def.laci = 20)
Added  | (tetr_def.tetr = 47 & laci_def.laci = 20)
Added  | (tetr_def.tetr = 41 & laci_def.laci = 19)
Added  | (tetr_def.tetr = 45 & laci_def.laci = 2)
Added  | (tetr_def.tetr = 48 & laci_def.laci = 13)
Added  | (tetr_def.tetr = 45 & laci_def.laci = 18)
Added  | (tetr_def.tetr = 49 & laci_def.laci = 1)
Added  | (tetr_def.tetr = 47 & laci_def.laci = 9)
Added  | (tetr_def.tetr = 45 & laci_def.laci = 20)
Added  | (tetr_def.tetr = 46 & laci_def.laci = 9)
Added  | (tetr_def.tetr = 45 & laci_def.laci = 15)
Added  | (tetr_def.tetr = 45 & laci_def.laci = 14)
Added  | (tetr_def.tetr = 49 & laci_def.laci = 4)
Added  | (tetr_def.tetr = 50 & laci_def.laci = 6)
Added  | (tetr_def.tetr = 48 & laci_def.laci = 7)
Added  | (tetr_def.tetr = 41 & laci_def.laci = 1)
Added  | (tetr_def.tetr = 49 & laci_def.laci = 19)
Added  | (tetr_def.tetr = 49 & laci_def.laci = 17)
Added  | (tetr_def.tetr = 49 & laci_def.laci = 15)
Added  | (tetr_def.tetr = 0 & laci_def.laci = 0)
Added  | (tetr_def.tetr = 0 & laci_def.laci = 0)
