Testing endpoint tetr=44 and laci=17
t0 = 34 ; l0 = 17 <- t1 = 34 ; l1 = 18 <- t2 = 34 ; l2 = 19
t0 = 34 ; l0 = 17 <- t1 = 24 ; l1 = 17 <- t2 = 14 ; l2 = 17
t0 = 34 ; l0 = 17 <- t1 = 34 ; l1 = 7 <- t2 = 24 ; l2 = 7
t0 = 34 ; l0 = 17 <- t1 = 35 ; l1 = 17 <- t2 = 35 ; l2 = 18
t0 = 34 ; l0 = 17 <- t1 = 24 ; l1 = 17 <- t2 = 25 ; l2 = 17
t0 = 34 ; l0 = 17 <- t1 = 34 ; l1 = 18 <- t2 = 24 ; l2 = 18
t0 = 34 ; l0 = 17 <- t1 = 35 ; l1 = 17 <- t2 = 25 ; l2 = 17
t0 = 34 ; l0 = 17 <- t1 = 34 ; l1 = 18 <- t2 = 35 ; l2 = 18
t0 = 34 ; l0 = 17 <- t1 = 35 ; l1 = 17 <- t2 = 36 ; l2 = 17
t0 = 34 ; l0 = 17 <- t1 = 24 ; l1 = 17 <- t2 = 24 ; l2 = 7
t0 = 34 ; l0 = 17 <- t1 = 24 ; l1 = 17 <- t2 = 24 ; l2 = 18
t0 = 34 ; l0 = 17 <- t1 = 34 ; l1 = 18 <- t2 = 34 ; l2 = 8
t0 = 34 ; l0 = 17 <- t1 = 34 ; l1 = 7 <- t2 = 35 ; l2 = 7
t0 = 34 ; l0 = 17 <- t1 = 35 ; l1 = 17 <- t2 = 35 ; l2 = 7
t0 = 34 ; l0 = 17 <- t1 = 34 ; l1 = 7 <- t2 = 34 ; l2 = 8
