Testing endpoint tetr=43 and laci=12
t0 = 33 ; l0 = 12 <- t1 = 23 ; l1 = 12 <- t2 = 23 ; l2 = 13
t0 = 33 ; l0 = 12 <- t1 = 34 ; l1 = 12 <- t2 = 34 ; l2 = 13
t0 = 33 ; l0 = 12 <- t1 = 33 ; l1 = 2 <- t2 = 23 ; l2 = 2
t0 = 33 ; l0 = 12 <- t1 = 23 ; l1 = 12 <- t2 = 13 ; l2 = 12
t0 = 33 ; l0 = 12 <- t1 = 34 ; l1 = 12 <- t2 = 24 ; l2 = 12
t0 = 33 ; l0 = 12 <- t1 = 33 ; l1 = 13 <- t2 = 23 ; l2 = 13
t0 = 33 ; l0 = 12 <- t1 = 33 ; l1 = 13 <- t2 = 33 ; l2 = 14
t0 = 33 ; l0 = 12 <- t1 = 23 ; l1 = 12 <- t2 = 24 ; l2 = 12
t0 = 33 ; l0 = 12 <- t1 = 34 ; l1 = 12 <- t2 = 35 ; l2 = 12
t0 = 33 ; l0 = 12 <- t1 = 23 ; l1 = 12 <- t2 = 23 ; l2 = 2
t0 = 33 ; l0 = 12 <- t1 = 33 ; l1 = 2 <- t2 = 34 ; l2 = 2
t0 = 33 ; l0 = 12 <- t1 = 33 ; l1 = 13 <- t2 = 34 ; l2 = 13
t0 = 33 ; l0 = 12 <- t1 = 34 ; l1 = 12 <- t2 = 34 ; l2 = 2
t0 = 33 ; l0 = 12 <- t1 = 33 ; l1 = 2 <- t2 = 33 ; l2 = 3
t0 = 33 ; l0 = 12 <- t1 = 33 ; l1 = 13 <- t2 = 33 ; l2 = 3
